"block_id","conc_r","conc_c","inhibition","drug_row","drug_col","conc_r_unit","conc_c_unit","cell_line_name","drug_row_cid","drug_col_cid","cellosaurus_accession","study_name"
"10","0","0","-0.000626453810742332","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","0","0.0045","1.04968153161588","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","0","0.02","35.7815617811685","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","0","0.09","72.258435066391","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","0","0.4","77.6921089773716","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","0.35","0","-1.75352135667578","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","0.35","0.0045","5.34248742905243","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","0.35","0.02","28.9743898432364","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","0.35","0.09","80.5789838097369","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","0.35","0.4","85.5687821363007","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","1.08","0","2.41025737138759","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","1.08","0.0045","18.1587383247051","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","1.08","0.02","42.3703787594195","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","1.08","0.09","78.1459438362107","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","1.08","0.4","86.4640745649834","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","3.25","0","15.0500552808021","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","3.25","0.0045","25.8385757813517","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","3.25","0.02","42.5377853001128","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","3.25","0.09","74.4198212211951","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","3.25","0.4","85.6990106483041","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","10","0","39.7067695077718","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","10","0.0045","44.8726946116128","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","10","0.02","55.8131249309181","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","10","0.09","79.9415939013212","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
"10","10","0.4","83.1896198257479","5-FU","BEZ-235","uM","uM","A2058","3385","11977753","CVCL_1059","ONEIL"
